district,Sex,Age,month of estimation,population
KZN - Amajuba District Municipality (DC25),Male,50-59,2019-07-31,14494.004972041814
KZN - Amajuba District Municipality (DC25),Male,60+,2019-07-31,16999.851485861036
KZN - Harry Gwala District Municipality (DC43),Female,0-4,2019-07-31,30880.126926535886
KZN - Harry Gwala District Municipality (DC43),Female,10-14,2019-07-31,30100.005298459484
KZN - Harry Gwala District Municipality (DC43),Female,15-19,2019-07-31,24027.338084269322
KZN - Harry Gwala District Municipality (DC43),Female,18-34,2019-07-31,68616.63025051131
KZN - Harry Gwala District Municipality (DC43),Female,35-49,2019-07-31,37255.60344283316
KZN - Harry Gwala District Municipality (DC43),Female,5-9,2019-07-31,31842.382530333183
KZN - Harry Gwala District Municipality (DC43),Female,50-59,2019-07-31,18052.538774514956
KZN - Harry Gwala District Municipality (DC43),Female,60+,2019-07-31,28585.345352922963
KZN - Harry Gwala District Municipality (DC43),Male,0-4,2019-07-31,31543.841475953832
